id,label,left_id,left_name,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_id,right_name,right_host_id,right_host_name,right_neighbourhood_group,right_neighbourhood,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
26,1,1580605,Bed & Breakfast Bergamo Sottosopra,8407181,Nicola,,Bergamo,45.69194,9.66595,Entire home/apt,180,1,1,2018-07-02,0.03,4,0,1599650,Bed & Breakfast Bergamo Sottosopra,8407181,Nicola,,Bergamo,45.69194,9.66595,Private room,47,1,61,2018-08-09,0.69,4,365
33,1,1599650,Bed & Breakfast Bergamo Sottosopra,8407181,Nicola,,Bergamo,45.69194,9.66595,Private room,47,1,61,2018-08-09,0.69,4,365,1599751,Bed & Breakfast Bergamo Sottosopra,8407181,Nicola,,Bergamo,45.69194,9.66595,Private room,55,1,52,2019-11-23,0.62,4,365
92,1,23157845,CANNELLA,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,70,1,0,,,7,1,23158341,RESINA,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,60,1,0,,,7,152
172,0,3754779,UpTown B'n'B Eco-Design Blue Room,18379205,Jesus Armando,,Bergamo,45.703179999999996,9.66506,Hotel room,68,2,11,2019-11-02,0.15,4,0,3755194,UpTown B'n'B Eco-Design White Room,18379205,Jesus Armando,,Bergamo,45.703179999999996,9.66504,Hotel room,68,2,12,2020-07-05,0.16,4,0
14,1,1379390,Trilocale Acquerelli,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,70,4,44,2019-12-23,0.49,9,348,1376791,Panoramic apartment with private Swimming Pool,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,123,4,21,2020-09-07,0.24,9,250
108,1,25508229,Palazzo Cinquecento: Dependance di design,30792380,IseoLakeRental,,Lovere,45.81646,10.07353,Private room,7999,1,19,2020-09-13,0.6,27,0,25277060,Palazzo Cinquecento - Design in centro storico,30792380,IseoLakeRental,,Lovere,45.81646,10.07353,Entire home/apt,7999,2,6,2020-09-13,0.2,27,1
113,1,28735072,B&B PONTEVECCHIO - Camera VERDE,216369858,"Franca, Nida & Gianluca",,Brembate,45.60654,9.56017,Private room,54,1,3,2019-06-09,0.11,3,80,28724367,B&B PONTEVECCHIO - Camera BLU,216369858,"Franca, Nida & Gianluca",,Brembate,45.60654,9.56017,Private room,65,1,0,,,3,0
153,1,40273870,Il Girasole Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,1,2020-02-16,0.09,5,1,40273000,I Papaveri Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,1,2020-02-03,0.09,5,1
126,1,30016551,"B&B Bergamo Bella,FREE BREAKFAST, Transfer ✈24/24h",225187623,Giovanna,,Bergamo,45.67191,9.65937,Private room,72,1,4,2018-11-25,0.15,2,365,29960871,"B&B Bergamo Bella,FREE BREAKFAST,Transfer 24/24h✈",225187623,Giovanna,,Bergamo,45.67191,9.65937,Private room,48,1,20,2019-10-13,0.78,2,365
8,1,1376460,White Wooden Roof apartment,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,45,2,32,2020-07-30,0.36,9,329,1455312,Bilocale con giardino,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,40,2,5,2019-11-03,0.12,9,328
521,0,12417975,RESIDENCE BORGO DEL CIGNO-TRILOWeek-016205CIM00001,67166293,Paloma Srl,,Spinone al Lago,45.76238,9.91929,Entire home/apt,135,6,0,,,6,0,26516570,RESIDENCE BORGO DEL CIGNO-MONOWeek-016205CIM00001,67166293,Paloma Srl,,Spinone al Lago,45.76072,9.91929,Entire home/apt,70,6,0,,,6,0
20,1,1431086,Romantic apartment,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,47,7,15,2019-08-31,0.28,9,274,1455312,Bilocale con giardino,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,40,2,5,2019-11-03,0.12,9,328
54,1,20445004,Feel at Home - CASA MARTINA,131153491,Feel At Home,,Lovere,45.81633,10.07356,Entire home/apt,129,2,10,2020-09-08,0.26,12,26,20398844,Feel at Home - CASA GIULIA,131153491,Feel At Home,,Lovere,45.81633,10.07356,Entire home/apt,124,2,3,2020-06-29,0.08,12,0
46,1,6419789,Affittimoderni Bergamo Classic - BGCO09,21763382,Affittimoderni,,Torre Boldone,45.71306,9.70123,Entire home/apt,98,1,14,2020-01-02,0.21,11,253,6419650,Affittimoderni Bergamo Metro - BGCO07,21763382,Affittimoderni,,Torre Boldone,45.71306,9.70123,Entire home/apt,88,1,10,2020-01-03,0.15,11,264
1357,0,30036342,For RYANAIR courses attendants,225745329,4RYANAIRcoursesattendants,,Bergamo,45.69384,9.689910000000001,Shared room,40,45,0,,,1,178,30035944,For RYANAIR courses attendants,225742358,STAYndfly,,Bergamo,45.69384,9.689910000000001,Shared room,40,5,0,,,1,0
186,1,43564494,MANZU - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,40,2,1,2020-08-04,0.2,6,308,43564437,QUARENGHI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,40,2,4,2020-10-18,0.57,6,1
77,1,21735947,Bergamo Centro,104440537,Maria,,Bergamo,45.69035,9.66219,Entire home/apt,48,3,14,2019-09-16,0.38,4,0,22967526,Cosy Central Flat,104440537,Maria,,Bergamo,45.69035,9.66219,Entire home/apt,48,3,26,2020-12-22,0.76,4,245
122,1,29122235,Residenza Caravaggio:  BACCO T01083,217028370,Giovanni Pietro,,Pedrengo,45.6982,9.73668,Entire home/apt,60,1,162,2020-11-01,6.04,3,300,29122353,Residenza Caravaggio: BUONA VENTURA T01083,217028370,Giovanni Pietro,,Pedrengo,45.6982,9.73668,Entire home/apt,65,1,13,2020-12-22,0.51,3,288
167,1,42676473,CARAVAGGIO - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,52,2,0,,,6,1,43564671,DONIZETTI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,50,2,0,,,6,334
75,1,21678872,Cozy flat with Swimming pool,7457450,Ezio,,Entratico,45.70427,9.87693,Entire home/apt,40,5,6,2020-09-13,0.17,9,139,21842069,Panoramic apartment - landscape between vineyards,7457450,Ezio,,Entratico,45.70427,9.87693,Entire home/apt,45,3,12,2019-11-04,0.33,9,233
161,1,41278555,"B&B I COLLI DI BERGAMO ALTA
Suite appartamento",128267984,Barbara,,Bergamo,45.71425,9.62322,Entire home/apt,49,1,2,2020-03-09,0.19,4,90,41817404,"B&B I COLLI DI BERGAMO ALTA
Camera Relax",128267984,Barbara,,Bergamo,45.71425,9.62322,Entire home/apt,50,1,1,2020-02-29,0.1,4,0
88,1,23157633,SPIGONARDO,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,80,1,0,,,7,152,23158341,RESINA,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,60,1,0,,,7,152
10,1,1376791,Panoramic apartment with private Swimming Pool,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,123,4,21,2020-09-07,0.24,9,250,1379390,Trilocale Acquerelli,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,70,4,44,2019-12-23,0.49,9,348
70,1,21676842,Ginevra Rooms Boutique Hotel - Rolex,157783894,Ginevra Rooms,,Bergamo,45.69825,9.66711,Private room,102,1,13,2020-09-15,0.33,4,0,21676841,Ginevra Rooms Boutique Hotel - Cartier Room,157783894,Ginevra Rooms,,Bergamo,45.69825,9.66711,Private room,95,1,0,,,4,211
196,1,46135833,Delizioso monolocale city & airport,372871518,Bed N,,Bergamo,45.68388,9.67477,Entire home/apt,71,1,0,,,3,275,46037148,Incantevole monolocale dotato di tutti i confort,372871518,Bed N,,Bergamo,45.68388,9.67477,Entire home/apt,61,1,1,2020-11-08,0.55,3,184
1063,0,32329840,Mansarde / Loft Sant Alessandro,125796258,Doreen,,Bergamo,45.69571,9.66341,Entire home/apt,55,2,7,2019-12-08,0.41,1,0,23357338,TOP SUITES - FASHION HOUSE ELVIRA 2,82595886,Alberto,,Bergamo,45.69285,9.66341,Entire home/apt,60,2,7,2020-06-28,0.22,3,0
4,1,645418,Apartment Alice for lovely holiday,3231980,Casa Alice,,Bergamo,45.70253,9.67266,Entire home/apt,60,3,3,2018-04-21,0.05,2,0,645397,Casa Alice for your holidays,3231980,Casa Alice,,Bergamo,45.70253,9.67266,Entire home/apt,55,3,19,2020-09-29,0.28,2,121
131,1,32787867,Casa Aydée - B&B - Bergamo city center,73499778,Claudia,,Bergamo,45.68363,9.65976,Private room,48,1,33,2020-08-27,1.51,4,175,32807740,Casa Aydée - B&B - Bergamo city center,73499778,Claudia,,Bergamo,45.68363,9.65976,Private room,48,1,64,2020-02-16,2.93,4,0
59,1,20854141,ACADEMIA APARTMENT,148490198,Nuala,,Bergamo,45.70301,9.67448,Private room,80,1,0,,,3,364,20734861,ACADEMIA RESIDENCE,148490198,Nuala,,Bergamo,45.70301,9.67448,Private room,59,1,25,2020-02-23,0.62,3,90
159,1,40273996,Le Orchidee Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,11,2020-03-25,0.89,5,1,40273688,Il Gelsomino Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,4,2020-08-17,0.32,5,1
57,1,20734861,ACADEMIA RESIDENCE,148490198,Nuala,,Bergamo,45.70301,9.67448,Private room,59,1,25,2020-02-23,0.62,3,90,20854141,ACADEMIA APARTMENT,148490198,Nuala,,Bergamo,45.70301,9.67448,Private room,80,1,0,,,3,364
116,1,28770297,B&B PONTEVECCHIO - Camera ROSSA,216369858,"Franca, Nida & Gianluca",,Brembate,45.60654,9.56017,Private room,59,1,0,,,3,90,28735072,B&B PONTEVECCHIO - Camera VERDE,216369858,"Franca, Nida & Gianluca",,Brembate,45.60654,9.56017,Private room,54,1,3,2019-06-09,0.11,3,80
62,1,20868091,Academia Apartment - 4 people,148490198,Nuala,,Bergamo,45.70301,9.67448,Private room,80,1,1,2017-09-30,0.03,3,364,20854141,ACADEMIA APARTMENT,148490198,Nuala,,Bergamo,45.70301,9.67448,Private room,80,1,0,,,3,364
508,0,12417975,RESIDENCE BORGO DEL CIGNO-TRILOWeek-016205CIM00001,67166293,Paloma Srl,,Spinone al Lago,45.76238,9.91929,Entire home/apt,135,6,0,,,6,0,26516570,RESIDENCE BORGO DEL CIGNO-MONOWeek-016205CIM00001,67166293,Paloma Srl,,Spinone al Lago,45.76072,9.91929,Entire home/apt,70,6,0,,,6,0
49,1,7884132,Private villa with Amazing View,21599419,Gianluigi,,Riva di Solto,45.77514,10.03888,Entire home/apt,137,1,39,2020-08-30,0.6,3,1,17791285,Gina's Apartment,21599419,Gianluigi,,Riva di Solto,45.77514,10.03888,Entire home/apt,87,2,31,2020-09-09,0.69,3,318
123,1,29122353,Residenza Caravaggio: BUONA VENTURA T01083,217028370,Giovanni Pietro,,Pedrengo,45.6982,9.73668,Entire home/apt,65,1,13,2020-12-22,0.51,3,288,29119510,Residenza Caravaggio: NARCISO T01083,217028370,Giovanni Pietro,,Pedrengo,45.6982,9.73668,Entire home/apt,40,1,151,2020-12-28,5.63,3,363
1334,0,29480213,IDEA B&B STANZA N.3,221861083,Idea,,Bergamo,45.69413,9.67418,Private room,90,1,1,2018-10-28,0.04,4,0,47283600,Easy ground Flat 💜 in Bergamo city & Airport,322035757,Dimitri,,Bergamo,45.68421,9.67418,Entire home/apt,42,1,0,,,3,0
94,1,23158030,INCENSO,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,60,1,0,,,7,153,23157845,CANNELLA,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,70,1,0,,,7,1
55,1,20673312,"Appartamento ""Jacopo"" in centro citta",94169226,Massi & Sara,,Bergamo,45.69804,9.67536,Entire home/apt,40,1,225,2020-09-19,5.55,4,333,21037048,"Appartamento ""Filippo"" in centro citta",94169226,Massi & Sara,,Bergamo,45.69804,9.67536,Entire home/apt,45,1,232,2020-10-25,5.84,4,305
148,1,40273606,Le Margherite Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,0,,,5,0,40273996,Le Orchidee Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,11,2020-03-25,0.89,5,1
1335,0,47283600,Easy ground Flat 💜 in Bergamo city & Airport,322035757,Dimitri,,Bergamo,45.68421,9.67418,Entire home/apt,42,1,0,,,3,0,29480213,IDEA B&B STANZA N.3,221861083,Idea,,Bergamo,45.69413,9.67418,Private room,90,1,1,2018-10-28,0.04,4,0
109,1,27744448,BERGAMO CENTER ★ Luxury room with airport shuttle,61414283,Jes,,Bergamo,45.69147,9.6997,Private room,25,1,118,2020-11-11,4.11,3,180,30287230,[BERGAMO CENTER] DOUBLE ROOM W/ AIRPORT SHUTTLE,61414283,Jes,,Bergamo,45.69147,9.6997,Private room,31,1,50,2020-12-24,2.22,3,356
2152,0,44040577,Camera Singola D con bagno in comune,352875464,Greta,,Seriate,45.68545,9.73053,Private room,60,2,0,,,5,0,44027563,Villa Viviana_ Camera Singola A con bagno comune,352875464,Greta,,Seriate,45.68545,9.731060000000001,Private room,60,2,0,,,5,0
103,1,23158341,RESINA,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,60,1,0,,,7,152,23158030,INCENSO,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,60,1,0,,,7,153
100,1,23158202,MIRRA,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,60,1,0,,,7,153,23158341,RESINA,170625620,Villa Fenix,,Osio Sotto,45.60332,9.59236,Private room,60,1,0,,,7,152
1356,0,30035944,For RYANAIR courses attendants,225742358,STAYndfly,,Bergamo,45.69384,9.689910000000001,Shared room,40,5,0,,,1,0,30036736,For RYANAIR courses attendants,225747904,4RYANAIRcoursesattendants,,Bergamo,45.69384,9.689910000000001,Shared room,40,5,0,,,1,178
147,1,40273606,Le Margherite Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,0,,,5,0,40273870,Il Girasole Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,1,2020-02-16,0.09,5,1
81,1,21823202,"MAG HOUSE APARTMENT  ""Colazione Soft- Wi Fi e BOX""",157264535,Maria,,Ranzanico,45.78991,9.94949,Entire home/apt,34,1,66,2020-02-16,1.8,2,0,22006236,"MAG HOUSE APARTMENT TAV""Colazione Soft-Wi Fi-BOX""",157264535,Maria,,Ranzanico,45.78991,9.94949,Entire home/apt,36,1,85,2020-12-07,2.32,2,0
1355,0,30035944,For RYANAIR courses attendants,225742358,STAYndfly,,Bergamo,45.69384,9.689910000000001,Shared room,40,5,0,,,1,0,30036342,For RYANAIR courses attendants,225745329,4RYANAIRcoursesattendants,,Bergamo,45.69384,9.689910000000001,Shared room,40,45,0,,,1,178
190,1,43564671,DONIZETTI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,50,2,0,,,6,334,42678087,COLLEONI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,52,2,1,2020-07-15,0.18,6,357
188,1,43564671,DONIZETTI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,50,2,0,,,6,334,42676473,CARAVAGGIO - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,52,2,0,,,6,1
53,1,20398844,Feel at Home - CASA GIULIA,131153491,Feel At Home,,Lovere,45.81633,10.07356,Entire home/apt,124,2,3,2020-06-29,0.08,12,0,20445004,Feel at Home - CASA MARTINA,131153491,Feel At Home,,Lovere,45.81633,10.07356,Entire home/apt,129,2,10,2020-09-08,0.26,12,26
1360,0,30036736,For RYANAIR courses attendants,225747904,4RYANAIRcoursesattendants,,Bergamo,45.69384,9.689910000000001,Shared room,40,5,0,,,1,178,30035944,For RYANAIR courses attendants,225742358,STAYndfly,,Bergamo,45.69384,9.689910000000001,Shared room,40,5,0,,,1,0
155,1,40273870,Il Girasole Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,1,2020-02-16,0.09,5,1,40273688,Il Gelsomino Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,4,2020-08-17,0.32,5,1
65,1,21676840,Ginevra Rooms Boutique Hotel - Vacheron Room,157783894,Ginevra Rooms,,Bergamo,45.69825,9.66711,Private room,107,1,49,2020-12-20,1.23,4,0,21676844,Ginevra Rooms Boutique Hotel - Patek Suite,157783894,Ginevra Rooms,,Bergamo,45.69825,9.66711,Private room,107,1,5,2019-08-13,0.13,4,0
141,1,40273000,I Papaveri Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,1,2020-02-03,0.09,5,1,40273606,Le Margherite Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,0,,,5,0
1,1,541284,HOME SWEET HOME,2661048,Federica,,Bergamo,45.69989,9.67483,Entire home/apt,50,2,73,2019-10-10,0.71,2,1,581839,HOME SWEET HOME,2661048,Federica,,Bergamo,45.69989,9.67483,Entire home/apt,50,2,76,2019-08-30,0.75,2,305
375,0,7738413,Gilda e Vesuvio Casa Vacanze,40669913,Alfonso  E Daniela,,Bergamo,45.706520000000005,9.68577,Entire home/apt,60,2,0,,,1,363,11964944,Albaluce B&B - CIR 016024,23013586,Simone,,Bergamo,45.71413,9.68577,Entire home/apt,48,2,123,2020-10-10,2.21,1,363
634,0,19024536,Chambre privée pour voyageur(non chambre de pass),128327637,Landry,,Seriate,45.68438,9.72865,Private room,26,1,71,2019-11-11,1.63,1,0,14831449,COSY Room Bed and Breakfast,4584884,Pauline   May,,Alzano Lombardo,45.7352,9.72865,Private room,60,1,0,,,1,0
138,1,43754494,Il Paleocapa Station Full,280941409,Luca,,Bergamo,45.69136,9.67172,Entire home/apt,171,2,1,2020-07-12,0.17,2,0,37319945,Il Paleocapa Station,280941409,Luca,,Bergamo,45.69136,9.67172,Entire home/apt,119,2,21,2020-07-04,1.32,2,0
172,1,42677759,GIMONDI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,40,2,0,,,6,335,43564671,DONIZETTI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,50,2,0,,,6,334
152,1,40273688,Il Gelsomino Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,4,2020-08-17,0.32,5,1,40273996,Le Orchidee Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,11,2020-03-25,0.89,5,1
73,1,21676844,Ginevra Rooms Boutique Hotel - Patek Suite,157783894,Ginevra Rooms,,Bergamo,45.69825,9.66711,Private room,107,1,5,2019-08-13,0.13,4,0,21676841,Ginevra Rooms Boutique Hotel - Cartier Room,157783894,Ginevra Rooms,,Bergamo,45.69825,9.66711,Private room,95,1,0,,,4,211
1039,0,27125541,Città Alta,204188867,Danielle,,Bergamo,45.70512,9.66075,Entire home/apt,78,1,47,2020-02-09,1.68,1,0,23143077,"CasaM,  200 mq di design nel cuore di Città Alta.",171997446,Chiara,,Bergamo,45.70446,9.66075,Entire home/apt,222,1,15,2020-10-21,0.46,2,0
169,1,42677759,GIMONDI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,40,2,0,,,6,335,42678087,COLLEONI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,52,2,1,2020-07-15,0.18,6,357
1550,0,33364043,Superior Family Room,251267784,Germano,,Sotto il Monte Giovanni XXIII,45.71474,9.51343,Hotel room,100,1,0,,,4,0,33382899,Camera Matrimoniale,251267784,Germano,,Sotto il Monte Giovanni XXIII,45.71451,9.51343,Private room,70,1,2,2019-07-28,0.1,4,0
19,1,1431086,Romantic apartment,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,47,7,15,2019-08-31,0.28,9,274,1379390,Trilocale Acquerelli,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,70,4,44,2019-12-23,0.49,9,348
47,1,7830103,CAMERA PIETRA,1122205,Corinne,,Roncola,45.77951,9.56231,Private room,65,1,0,,,8,0,7846295,CAMERA ACQUA,1122205,Corinne,,Roncola,45.77951,9.56231,Private room,65,1,1,2019-04-14,0.05,8,365
160,1,40273996,Le Orchidee Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,11,2020-03-25,0.89,5,1,40273870,Il Girasole Appartamento,220905635,Giuseppa,,Bergamo,45.69167,9.67173,Entire home/apt,50,1,1,2020-02-16,0.09,5,1
1038,0,23143077,"CasaM,  200 mq di design nel cuore di Città Alta.",171997446,Chiara,,Bergamo,45.70446,9.66075,Entire home/apt,222,1,15,2020-10-21,0.46,2,0,27125541,Città Alta,204188867,Danielle,,Bergamo,45.70512,9.66075,Entire home/apt,78,1,47,2020-02-09,1.68,1,0
176,1,42678087,COLLEONI - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,52,2,1,2020-07-15,0.18,6,357,43564494,MANZU - KitaHouse,339859165,Cristina,,Bergamo,45.7043,9.69355,Entire home/apt,40,2,1,2020-08-04,0.2,6,308
